36.25488,16.23535,884.52148,-17822.2664638.671902136.23050,4638.671902136.23050,2136.23050
13.91602,21.97266,958.61816,-23559.5707019.04300244.14063,7019.04300244.14063,244.14063
13.42773,22.70508,957.39746,-23559.5706958.00780244.14063,6958.00780244.14063,244.14063
14.89258,22.33887,958.00781,-23620.6057019.04300183.10547,7019.04300183.10547,183.10547
13.54980,21.60645,958.74023,-23681.6416896.97270183.10547,6896.97270183.10547,183.10547
13.79395,22.82715,959.83887,-23620.6056835.93750366.21094,6835.93750366.21094,366.21094
12.81738,22.21680,961.91406,-23559.5707019.04300366.21094,7019.04300366.21094,366.21094
14.28223,21.97266,963.50098,-23620.6056774.90230366.21094,6774.90230366.21094,366.21094
13.67188,22.70508,965.33203,-23559.5707019.04300183.10547,7019.04300183.10547,183.10547
13.67188,22.58301,965.20996,-23620.6056896.97270244.14063,6896.97270244.14063,244.14063
14.03809,22.21680,966.91895,-23620.6057080.07810244.14063,7080.07810244.14063,244.14063
13.79395,21.60645,967.52930,-23681.6417019.04300305.17578,7019.04300305.17578,305.17578
13.30566,22.70508,967.77344,-23681.6417080.07810305.17578,7080.07810305.17578,305.17578
14.16016,22.21680,969.11621,-23742.6767019.04300244.14063,7019.04300244.14063,244.14063
13.91602,22.58301,970.21484,-23742.6766835.93750244.14063,6835.93750244.14063,244.14063
14.40430,22.09473,970.45898,-23559.5706896.97270183.10547,6896.97270183.10547,183.10547
14.16016,23.19336,970.33691,-23620.6057019.04300244.14063,7019.04300244.14063,244.14063
14.16016,22.21680,970.94727,-23681.6417080.07810183.10547,7080.07810183.10547,183.10547
14.40430,23.07129,971.43555,-23620.6057019.04300183.10547,7019.04300183.10547,183.10547
13.67188,23.19336,972.16797,-23620.6056958.00780305.17578,6958.00780305.17578,305.17578
13.54980,22.33887,973.02246,-23620.6056896.97270122.07031,6896.97270122.07031,122.07031
13.67188,21.85059,973.38867,-23742.6766958.00780122.07031,6958.00780122.07031,122.07031
13.18359,22.46094,973.87695,-23681.6417019.04300244.14063,7019.04300244.14063,244.14063
