4055,0,-45.04,15.63,972.90,40.28,30.52,4.27,-21.90,42.44,-37.52
4111,1,-46.39,16.48,972.29,39.06,30.52,5.49,-21.50,42.72,-36.85
4166,2,-46.88,16.85,971.56,39.06,31.74,4.27,-21.63,42.68,-36.76
4222,0,-46.39,15.99,973.88,39.67,31.13,4.88,-22.18,42.71,-35.28
4279,1,-47.36,15.87,973.51,40.89,29.91,3.66,-22.07,42.22,-35.88
4335,2,-47.24,15.99,972.41,38.45,30.52,3.05,-22.19,42.64,-36.15
4391,0,-45.90,16.11,973.39,40.28,28.69,4.27,-22.02,42.93,-36.43
4448,1,-46.26,15.38,972.90,38.45,31.13,4.27,-21.94,42.43,-35.97
4503,2,-46.26,15.14,973.39,39.67,31.13,4.88,-21.97,41.70,-36.77
4559,0,-45.65,16.85,972.78,39.67,30.52,2.44,-22.17,42.74,-35.97
4616,1,-47.24,15.99,973.14,38.45,31.13,1.83,-21.98,42.80,-37.28
4672,2,-45.29,15.26,973.39,37.23,31.13,4.88,-21.79,42.57,-36.77
4728,0,-46.26,15.63,973.27,40.28,29.30,4.27,-21.64,42.35,-36.45
4785,1,-47.36,16.24,973.14,40.28,30.52,5.49,-22.11,42.31,-36.39
4841,2,-46.14,15.75,972.66,38.45,30.52,4.27,-21.70,42.79,-37.00
4896,0,-46.26,14.89,971.07,39.06,30.52,4.27,-21.69,42.70,-35.95
4953,1,-45.78,15.50,973.39,39.67,31.74,4.27,-22.14,42.68,-36.23
5009,2,-47.00,14.89,973.02,39.67,29.91,3.05,-21.80,42.49,-36.69
5065,0,-46.02,15.01,972.05,38.45,31.13,4.27,-21.56,42.05,-35.47
5122,1,-46.02,15.99,971.80,39.67,31.74,3.66,-21.23,42.40,-36.80
5178,2,-46.63,15.87,972.29,37.84,30.52,4.88,-21.85,42.52,-36.51
5233,0,-46.63,15.01,971.44,38.45,29.30,3.66,-21.91,42.65,-35.82
5289,1,-45.90,15.63,972.90,38.45,31.13,4.88,-21.59,42.07,-36.51
5346,2,-47.00,16.72,971.44,37.23,29.30,4.27,-21.73,42.32,-36.19
5402,0,-46.02,16.11,972.78,39.06,31.74,3.66,-22.23,42.87,-36.36
5458,1,-46.14,15.38,974.00,37.84,30.52,2.44,-21.80,41.98,-35.88
5515,2,-46.88,16.48,972.90,39.06,30.52,3.66,-21.96,42.52,-36.18
5571,0,-47.73,15.38,971.07,38.45,29.91,3.66,-21.85,42.02,-35.86
5626,1,-47.24,16.97,971.80,39.06,29.91,5.49,-21.73,42.66,-35.24
5683,2,-46.63,16.48,972.17,40.28,29.30,4.88,-22.19,42.87,-36.08
5739,0,-46.88,17.33,971.31,39.06,31.13,3.66,-21.30,41.82,-35.40
5795,1,-73.85,29.17,995.73,44.56,34.18,6.71,-21.40,42.10,-35.61
5852,2,-83.25,26.25,959.11,40.89,31.13,4.27,-21.79,42.50,-36.21
5908,0,-59.81,33.81,987.67,36.62,25.63,3.05,-21.80,42.24,-36.34
5963,1,-45.78,34.67,976.93,37.23,29.91,3.05,-21.77,43.03,-36.13
6020,2,-60.42,19.65,980.71,37.23,28.69,4.88,-21.80,42.54,-37.22
6076,0,-61.04,11.72,977.91,37.84,28.69,2.44,-21.77,42.16,-37.28
6132,1,-34.79,12.70,978.03,39.67,29.91,4.88,-21.37,42.30,-37.00
6189,2,-38.21,14.04,979.13,38.45,29.91,4.88,-21.85,42.42,-36.47
6245,0,-45.41,9.89,972.29,37.23,32.35,6.10,-21.67,42.46,-36.82
6300,1,-45.53,14.65,973.63,39.67,31.13,4.27,-22.30,42.46,-36.85
6356,2,-43.82,16.85,972.53,37.23,32.35,3.66,-21.72,42.26,-35.71
6413,0,-44.07,16.85,972.90,39.67,31.13,3.66,-21.97,42.27,-36.29
6469,1,-50.05,13.31,973.39,39.06,31.74,3.66,-22.12,42.74,-35.84
6525,2,-47.61,12.33,973.75,38.45,32.35,4.88,-22.08,42.52,-37.43
6582,0,-45.04,17.58,971.44,39.67,30.52,3.05,-21.91,42.69,-36.33
6638,1,-47.24,20.51,971.31,40.89,31.13,3.66,-21.77,42.31,-35.69
6693,2,-46.63,14.89,972.90,37.84,31.13,4.27,-21.51,42.24,-35.96
6750,0,-47.73,13.55,973.39,40.28,30.52,4.27,-21.80,42.50,-36.24
6806,1,-47.00,14.28,973.02,39.06,31.13,4.88,-21.66,42.68,-36.49
6862,2,-46.51,18.31,973.51,39.06,32.96,4.88,-22.20,42.47,-36.45
6919,0,-46.51,15.99,973.51,37.84,31.74,4.88,-22.03,43.21,-36.90
6975,1,-47.36,12.57,973.51,39.67,31.74,4.88,-21.98,42.99,-36.29
7030,2,-46.88,15.50,972.90,40.28,29.91,4.27,-22.33,42.88,-35.75
7087,0,-45.17,17.58,971.19,40.28,32.35,4.88,-22.02,42.61,-35.97
7143,1,-45.53,15.14,972.29,38.45,31.13,4.27,-21.84,42.64,-36.23
7199,2,-47.85,12.70,973.02,39.06,29.91,3.05,-22.02,42.83,-36.67
7256,0,-46.26,14.28,974.00,38.45,31.13,3.66,-21.14,42.58,-35.83
7312,1,-45.90,17.70,972.41,39.06,31.13,5.49,-21.81,42.59,-36.29
7368,2,-45.29,16.36,973.14,39.67,31.74,3.66,-21.26,42.36,-34.75
7424,0,-47.00,14.53,973.75,39.67,32.35,3.66,-21.23,42.25,-36.11
7480,1,-46.63,14.16,972.90,40.89,30.52,4.27,-21.79,42.58,-35.06
7536,2,-45.65,16.11,972.05,38.45,29.91,4.88,-21.87,42.30,-35.49
7592,0,-46.63,15.99,971.92,42.11,28.69,3.66,-21.45,42.41,-35.12
7649,1,-47.36,15.50,972.90,40.28,31.74,4.88,-21.78,42.54,-36.46
7705,2,-45.41,15.87,973.88,39.06,31.13,5.49,-21.68,42.47,-34.97
7760,0,-46.14,16.48,973.14,39.06,31.74,4.27,-21.63,42.54,-35.66
7817,1,-46.26,14.04,973.14,39.06,30.52,5.49,-21.66,42.61,-35.93
7873,2,-45.90,13.79,973.14,39.67,31.13,4.88,-21.23,42.25,-36.23
7929,0,-45.78,15.75,973.88,39.06,31.13,4.27,-21.53,42.87,-35.46
7986,1,-45.90,15.99,973.63,39.06,29.30,4.88,-21.87,42.60,-35.19
8042,2,-46.75,14.16,972.17,39.06,30.52,4.88,-21.98,42.64,-34.83
8097,0,-45.17,13.92,973.14,40.28,29.91,5.49,-21.62,42.41,-36.05
8154,1,-46.02,15.63,972.66,38.45,30.52,3.05,-21.95,42.46,-36.06
8210,2,-46.75,15.50,973.14,40.89,30.52,4.27,-21.72,42.33,-36.13
8266,0,-46.63,15.50,973.02,38.45,30.52,5.49,-22.20,42.99,-36.34
8323,1,-45.78,15.38,972.66,37.23,30.52,3.66,-21.79,42.60,-35.14
8379,2,-46.51,15.75,972.53,38.45,29.91,4.88,-22.11,42.80,-35.96
8435,0,-46.51,15.38,972.78,37.84,31.13,5.49,-21.83,42.10,-35.66
8491,1,-46.75,15.38,973.27,39.67,31.13,0.61,-22.20,42.55,-35.77
8547,2,-45.65,15.87,973.75,39.06,29.30,4.27,-21.78,42.40,-35.56
