-1,119,119,119,119,119,119
0,-23.68,36.99,953.00,56.76,175.17,6.10
1,-24.90,41.38,957.15,56.76,176.39,5.49
2,-24.29,38.82,955.69,57.37,175.17,5.49
0,-22.71,38.21,956.67,56.15,175.78,6.10
1,-21.85,40.77,958.25,56.76,173.95,6.10
2,-21.00,40.04,958.86,56.76,174.56,4.88
0,-22.95,39.79,958.86,56.76,174.56,5.49
1,-26.00,35.77,955.93,56.76,173.34,4.88
2,-21.73,41.75,958.98,55.54,175.78,5.49
0,-20.02,39.92,958.01,57.98,175.17,6.10
1,-21.61,42.72,960.33,56.15,176.39,5.49
2,-22.46,40.89,959.84,56.76,175.17,4.88
0,-24.17,37.35,959.35,57.98,175.17,4.27
1,-24.54,39.31,961.91,54.93,175.78,5.49
2,-29.66,35.28,956.30,56.76,175.17,5.49
0,-26.49,41.50,962.89,57.98,175.17,6.10
1,-20.63,39.43,961.18,56.76,175.78,5.49
2,-17.21,42.24,961.06,57.98,175.78,4.88
0,-18.68,38.45,961.06,57.98,175.78,6.10
1,-21.48,39.18,962.52,58.59,175.17,4.27
2,-25.27,40.04,963.13,57.37,177.61,7.32
0,-26.86,38.82,964.11,57.37,175.78,4.88
1,-26.12,37.60,962.04,58.59,173.95,6.10
2,-24.54,39.43,962.89,57.98,175.78,4.88
0,-21.12,38.82,963.01,57.98,175.78,5.49
1,-21.61,41.02,965.94,56.76,176.39,4.27
2,-22.83,38.21,964.97,56.76,175.17,4.27
0,-21.97,40.53,964.84,57.98,174.56,4.27
1,-20.39,39.55,964.36,56.76,174.56,4.88
2,-22.83,40.77,963.38,56.76,174.56,6.10
0,-24.41,38.33,963.87,56.15,174.56,4.88
1,-24.66,39.31,964.60,57.37,174.56,6.10
2,-25.63,38.09,964.84,56.15,175.17,5.49
0,-24.66,40.16,966.92,56.15,175.78,6.10
1,-22.58,38.57,966.19,56.15,175.17,5.49
2,-20.51,39.67,965.70,56.15,175.17,4.88
0,-20.26,39.92,965.33,56.76,174.56,5.49
1,-22.09,39.43,966.19,56.76,174.56,6.10
2,-23.07,39.18,965.45,58.59,176.39,4.27
0,-23.93,39.18,966.80,56.76,175.17,5.49
1,-23.80,39.43,967.77,54.32,173.95,6.10
2,-20.75,38.70,963.87,87.89,154.42,2.44
0,-21.61,38.57,967.41,129.39,129.39,-23.80
1,-24.17,39.31,968.26,91.55,56.76,-13.43
2,-21.12,40.65,967.41,64.09,17.09,-4.88
0,-19.90,38.45,966.55,48.83,-6.10,0.00
1,-20.14,39.55,968.51,39.67,-16.48,3.05
2,-21.85,37.96,968.75,31.13,-21.97,6.10
0,-24.17,39.18,969.48,28.69,-23.80,6.10
1,-22.58,39.06,970.46,26.86,-21.36,7.93
2,-21.73,37.84,969.36,24.41,-18.92,8.54
0,-21.12,38.33,968.38,26.25,-14.65,10.38
1,-22.83,39.79,969.12,28.08,-11.60,8.54
2,-24.29,37.72,969.97,28.08,-6.10,10.99
0,-22.95,40.16,970.46,27.47,-1.22,10.38
1,-20.63,38.45,969.48,29.30,4.27,9.16
2,-21.85,38.33,969.85,28.08,6.71,11.60
0,-22.09,38.09,969.97,29.91,11.60,10.99
1,-23.56,37.72,968.87,30.52,15.87,9.16
2,-23.93,39.31,969.97,32.35,19.53,9.16
0,-23.80,39.67,969.12,31.74,23.19,11.60
1,-21.36,38.09,967.16,35.40,27.47,7.93
2,-21.24,41.87,976.20,37.84,31.13,9.16
0,-22.34,36.01,969.36,37.23,31.74,6.71
1,-21.24,42.24,969.73,37.23,29.91,8.54
2,-24.54,37.60,970.21,37.84,29.30,7.93
0,-23.19,39.79,972.05,37.23,28.08,7.93
1,-22.83,34.06,959.72,37.23,28.08,7.32
2,-18.80,46.75,966.55,39.06,31.13,7.93
0,-19.53,36.38,969.73,37.23,28.08,9.16
1,-24.17,41.50,970.95,39.06,30.52,7.32
2,-23.07,36.62,968.87,37.84,28.08,7.32
0,-23.19,40.89,969.60,36.62,28.69,7.93
1,-20.39,39.06,967.04,37.23,29.91,8.54
2,-23.56,38.45,968.14,37.84,29.30,9.16
0,-24.17,42.24,970.95,36.62,29.91,8.54
1,-23.93,35.16,969.36,37.23,29.91,8.54
2,-20.39,43.58,970.70,39.67,28.69,9.16
0,-19.78,40.04,970.95,37.84,30.52,7.93
1,-21.85,42.60,968.87,38.45,29.91,7.93
2,-23.80,35.28,968.26,37.23,29.30,8.54
0,-27.47,41.14,968.87,37.84,28.69,9.16
1,-23.68,36.38,969.73,37.23,28.08,7.93
2,-21.12,41.87,972.17,39.67,29.30,8.54
0,-18.92,41.87,970.83,38.45,29.91,9.16
1,-19.65,38.94,968.38,35.40,30.52,7.93
2,-21.24,38.45,969.85,38.45,30.52,7.93
0,-26.12,38.09,938.72,36.62,28.08,7.32
1,-23.68,38.94,969.97,37.23,30.52,8.54
2,-20.75,38.21,970.34,36.62,29.30,8.54
0,-19.90,40.77,970.83,36.62,29.30,9.16
1,-21.61,39.06,970.70,37.23,28.08,7.93
2,-24.05,39.55,971.19,37.23,29.91,7.32
0,-21.24,49.19,951.17,37.84,31.13,7.93
1,-20.75,41.75,973.27,38.45,29.30,9.16
2,-19.04,32.47,967.53,37.84,28.08,7.32
0,-18.55,45.41,973.27,37.23,30.52,7.32
1,-22.34,35.89,975.46,38.45,29.30,7.32
2,-23.80,32.71,968.38,36.62,29.91,7.93
0,-25.51,37.48,968.87,35.40,29.30,6.71
1,-24.41,41.14,974.61,36.62,29.30,7.93
2,-21.97,40.28,973.51,37.84,30.52,9.16
0,-22.09,37.23,969.48,37.84,28.69,7.32
1,-20.87,38.57,970.34,38.45,29.91,7.93
2,-22.34,37.84,972.05,36.62,29.30,8.54
0,-19.78,40.04,973.75,39.06,28.69,7.93
1,-21.24,42.48,972.53,39.06,28.69,7.32
2,-21.73,39.43,967.65,36.62,27.47,8.54
0,-19.78,40.41,969.97,37.84,28.69,7.32
1,-25.27,38.94,968.99,36.01,28.69,8.54
2,-34.42,40.16,970.83,39.06,28.08,9.16
0,-31.13,37.48,970.09,37.23,30.52,8.54
1,-21.24,38.94,970.83,39.67,27.47,7.93
2,-15.14,40.16,972.29,37.23,29.30,7.32
0,-13.43,41.38,971.44,37.23,29.91,7.93
1,-18.68,39.18,969.48,37.84,31.13,7.32
2,-25.27,39.18,971.56,36.62,29.91,7.93
0,-23.93,40.16,970.83,37.84,30.52,7.93
1,-20.39,38.45,972.05,37.84,29.30,9.16
2,-22.58,39.55,972.53,39.06,29.30,6.10
0,-22.95,39.31,971.19,37.23,29.91,8.54
1,-25.02,40.28,970.70,37.84,29.91,7.93
2,-25.15,37.84,970.34,37.23,29.91,7.93
0,-26.61,39.06,969.24,38.45,29.91,7.93
1,-23.68,35.64,970.70,37.84,28.08,7.93
2,-20.14,41.75,971.68,37.23,28.08,7.32
0,-16.24,41.02,973.27,37.84,30.52,7.93
1,-18.07,39.31,970.83,37.23,29.91,7.32
2,-23.80,38.70,971.44,37.84,32.96,7.93
0,-24.29,39.92,970.09,37.23,28.08,7.93
1,-23.93,37.96,970.46,37.84,29.91,8.54
2,-23.68,38.21,969.73,37.23,29.30,8.54
0,-21.24,39.92,972.41,39.06,29.91,7.32
1,-20.87,39.55,971.68,38.45,29.91,7.93
2,-22.58,39.06,972.17,37.84,29.91,7.93
0,-24.05,39.18,970.46,37.84,29.91,9.16
1,-24.78,37.35,970.34,38.45,29.91,8.54
2,-23.44,38.82,970.46,39.06,29.91,8.54
0,-20.87,39.43,971.44,40.28,28.69,7.32
1,-19.17,40.04,971.68,39.67,29.30,9.77
2,-20.87,38.45,973.27,39.06,31.13,9.16
0,-23.80,39.92,972.41,39.06,29.30,8.54
1,-26.49,38.94,971.80,40.89,29.30,8.54
2,-24.41,36.50,968.63,38.45,31.74,8.54
