1,-23.19,42.85,973.02,39.06,31.13,5.49,-21.25,52.61,-60.77,-1.34,2.53
2,-21.61,43.21,973.88,38.45,29.91,4.88,-21.50,51.83,-59.86,-1.25,2.55
0,-22.58,43.70,972.90,37.84,30.52,4.88,-22.11,51.64,-60.64,-1.31,2.58
1,-23.68,43.33,973.39,37.23,29.30,4.88,-22.28,51.49,-60.88,-1.37,2.55
2,-21.48,43.21,973.14,38.45,28.69,3.66,-21.80,51.14,-60.38,-1.24,2.55
0,-22.58,42.24,973.51,37.23,29.30,6.10,-22.12,51.26,-60.77,-1.31,2.49
1,-23.68,43.33,973.14,36.62,28.69,4.27,-21.83,51.73,-61.38,-1.37,2.56
2,-22.46,41.87,973.88,37.23,29.91,5.49,-22.22,50.99,-60.61,-1.30,2.47
0,-20.63,42.60,973.51,37.23,28.08,5.49,-21.98,51.12,-60.88,-1.19,2.52
1,-22.46,44.07,973.51,36.62,29.30,4.88,-22.29,51.65,-61.05,-1.30,2.60
2,-23.19,43.21,972.29,39.06,29.30,4.88,-21.78,51.51,-60.96,-1.34,2.55
0,-21.97,42.72,974.37,37.84,29.91,4.27,-21.87,51.35,-60.91,-1.27,2.52
1,-22.58,42.11,973.75,36.62,29.30,3.66,-22.08,51.33,-61.73,-1.31,2.48
2,-21.85,42.60,973.75,36.01,28.08,3.66,-22.24,51.35,-60.53,-1.26,2.51
0,-21.00,42.11,973.51,36.01,29.91,4.27,-21.98,51.32,-60.41,-1.22,2.49
1,-23.44,43.70,973.88,36.62,28.69,4.27,-22.23,51.22,-60.66,-1.35,2.57
2,-24.54,44.19,972.90,38.45,30.52,4.88,-22.45,51.00,-60.12,-1.42,2.61
0,-21.00,44.07,973.51,37.84,28.69,4.88,-22.12,51.16,-60.34,-1.21,2.60
1,-21.85,43.46,972.90,39.06,28.69,3.66,-22.75,51.15,-60.28,-1.26,2.57
2,-22.83,42.48,973.63,37.23,29.30,3.66,-22.28,51.97,-60.72,-1.32,2.51
0,-23.07,41.50,973.14,36.01,30.52,4.88,-22.01,52.14,-60.97,-1.34,2.45
1,-23.19,42.97,973.27,36.01,28.69,3.66,-22.19,51.60,-60.91,-1.34,2.54
2,-21.73,43.21,973.63,37.23,28.08,3.66,-21.86,51.48,-60.72,-1.26,2.55
0,-23.07,44.07,974.12,35.40,28.08,3.66,-21.81,51.84,-60.85,-1.33,2.60
1,-22.09,42.60,973.14,35.40,28.08,4.88,-22.51,51.71,-60.94,-1.28,2.52
2,-22.95,42.97,973.88,38.45,28.69,4.27,-21.89,50.94,-61.13,-1.33,2.53
0,-22.95,42.97,973.51,39.67,28.08,3.05,-21.68,51.54,-59.88,-1.33,2.53
1,-22.34,43.33,973.51,36.62,29.30,4.88,-21.87,50.89,-60.69,-1.29,2.56
2,-23.19,42.60,972.78,37.84,29.91,3.05,-22.09,51.04,-60.57,-1.34,2.52
0,-22.58,42.72,973.39,38.45,29.30,4.27,-21.95,51.14,-59.99,-1.31,2.52
1,-22.58,43.33,973.75,38.45,29.30,5.49,-21.95,50.83,-61.12,-1.30,2.56
2,-23.07,43.21,973.63,37.23,28.69,4.88,-21.94,51.70,-60.50,-1.33,2.55
0,-22.09,44.19,973.63,37.84,28.69,6.10,-21.52,51.49,-60.28,-1.28,2.61
1,-22.22,43.46,974.00,37.23,29.91,4.27,-21.98,51.70,-60.30,-1.28,2.56
2,-22.58,42.48,973.02,37.84,28.69,4.27,-22.01,51.88,-60.63,-1.31,2.51
0,-23.19,42.97,973.63,36.01,29.91,4.88,-22.28,51.14,-60.57,-1.34,2.53
1,-23.19,42.36,973.39,36.01,29.30,4.88,-22.02,50.88,-60.39,-1.34,2.50
2,-22.83,44.07,973.63,37.23,30.52,4.27,-22.06,51.32,-61.45,-1.32,2.60
0,-22.58,43.70,973.39,37.23,29.91,5.49,-22.34,51.10,-60.84,-1.31,2.58
1,-22.34,42.60,973.27,36.62,29.91,4.88,-22.08,51.05,-60.84,-1.29,2.52
2,-21.97,42.60,974.00,36.62,29.30,4.88,-21.79,50.99,-60.77,-1.27,2.51
0,-22.34,43.09,974.12,37.23,29.30,4.88,-22.52,51.27,-62.07,-1.29,2.54
1,-23.07,42.85,973.75,36.01,28.69,4.27,-22.38,51.73,-60.85,-1.33,2.53
2,-21.73,42.97,973.51,36.62,28.69,3.66,-22.28,51.37,-61.11,-1.26,2.54
0,-22.09,42.85,973.27,36.62,29.30,4.88,-22.33,50.90,-61.07,-1.28,2.53
1,-22.22,42.72,973.27,37.84,29.30,4.88,-22.02,51.48,-61.36,-1.29,2.52
2,-22.46,43.58,973.75,37.23,28.69,3.66,-22.19,51.73,-60.73,-1.30,2.57
0,-22.71,43.21,973.39,37.84,28.69,4.88,-22.38,51.09,-61.13,-1.31,2.55
1,-22.83,43.21,973.51,36.62,27.47,2.44,-21.61,51.29,-60.10,-1.32,2.55
2,-22.71,43.33,974.00,38.45,29.91,5.49,-21.75,51.45,-60.82,-1.31,2.55
0,-22.46,43.21,973.88,37.23,29.91,4.88,-21.61,51.26,-60.39,-1.30,2.55
1,-22.83,42.72,973.75,36.62,28.08,4.27,-21.62,51.56,-61.24,-1.32,2.52
2,-23.07,43.58,973.88,36.62,28.69,4.88,-21.63,51.23,-60.12,-1.33,2.57
0,-23.32,43.09,973.27,37.84,28.69,3.05,-21.94,50.83,-60.82,-1.35,2.54
1,-22.58,43.82,973.75,37.84,28.08,3.05,-22.07,51.17,-60.82,-1.30,2.58
2,-22.83,42.97,973.75,36.62,28.08,3.05,-22.06,50.95,-60.93,-1.32,2.53
0,-22.95,42.60,973.39,37.23,29.30,4.27,-22.85,51.73,-61.62,-1.33,2.51
1,-22.46,43.33,973.51,37.23,29.30,2.44,-22.35,50.71,-60.68,-1.30,2.56
2,-23.07,42.60,974.61,37.23,28.69,5.49,-22.29,51.40,-61.44,-1.33,2.51
0,-23.19,42.72,973.63,36.62,29.30,4.27,-22.41,51.68,-60.93,-1.34,2.52
1,-23.19,44.07,973.39,36.62,29.30,4.88,-21.84,51.29,-61.62,-1.34,2.60
2,-21.97,43.95,973.27,36.62,28.08,4.27,-21.90,51.62,-60.51,-1.27,2.60
0,-22.46,43.70,973.75,37.84,30.52,3.66,-22.24,51.18,-60.68,-1.30,2.58
1,-22.22,42.85,974.00,37.23,28.69,4.27,-21.44,50.87,-61.10,-1.28,2.53
2,-21.97,42.36,974.24,38.45,28.08,3.66,-22.14,51.28,-60.24,-1.27,2.50
0,-22.22,42.24,973.39,37.84,28.69,3.05,-21.91,50.99,-61.02,-1.29,2.49
1,-22.58,42.85,973.88,37.23,29.30,2.44,-22.03,51.22,-60.95,-1.31,2.53
2,-22.46,43.58,973.14,36.62,29.30,4.27,-21.51,51.42,-60.79,-1.30,2.57
0,-21.85,42.85,973.51,37.84,28.69,6.10,-21.57,51.31,-60.35,-1.26,2.53
1,-23.07,43.09,973.63,36.62,29.91,4.27,-22.08,51.62,-59.74,-1.33,2.54
2,-22.71,43.46,974.12,36.01,28.08,4.88,-21.61,51.05,-59.89,-1.31,2.56
