3710,0,-47.12,14.28,973.88,40.28,31.74,3.66,-22.49,42.43,-35.99
3761,1,-44.68,14.53,973.75,40.28,29.91,4.27,-22.27,42.41,-35.27
3812,2,-45.90,15.87,970.70,39.67,31.13,5.49,-21.90,42.88,-34.86
3862,0,-44.43,15.01,972.90,39.67,30.52,4.27,-22.03,42.52,-36.93
3913,1,-44.31,14.77,972.66,39.06,30.52,3.66,-21.81,43.09,-35.79
3964,2,-44.80,15.87,972.17,39.67,31.13,3.66,-22.22,42.40,-35.61
4016,0,-44.68,16.24,972.29,39.06,31.74,4.88,-21.73,42.37,-36.02
4067,1,-46.88,15.26,973.02,40.28,29.91,4.27,-22.69,42.47,-35.80
4117,2,-46.14,13.67,973.14,40.28,31.13,4.88,-22.30,42.31,-36.06
4168,0,-44.43,15.75,973.02,39.06,30.52,3.66,-21.79,42.24,-36.06
4219,1,-47.00,15.50,972.66,39.06,30.52,3.66,-21.89,42.29,-36.16
4271,2,-43.46,17.94,973.27,39.67,31.13,3.05,-21.98,41.78,-35.56
4321,0,-44.56,15.99,973.75,39.06,31.74,4.88,-21.95,42.75,-36.06
4372,1,-46.51,13.55,973.02,40.28,29.91,3.05,-21.86,42.26,-36.35
4423,2,-46.26,15.87,972.41,39.06,29.30,3.05,-22.00,42.87,-35.42
4473,0,-46.26,16.36,972.66,38.45,31.13,3.05,-22.16,42.48,-35.31
4525,1,-47.85,13.79,972.90,40.89,30.52,3.66,-21.81,42.22,-35.38
4576,2,-46.26,15.14,973.39,40.28,31.74,4.88,-22.01,41.93,-35.08
4627,0,-44.07,16.60,973.63,40.28,32.35,3.05,-21.85,42.35,-35.19
4677,1,-45.29,18.19,973.88,37.84,29.91,4.88,-21.95,42.09,-36.21
4728,2,-45.41,15.38,973.88,40.28,31.74,3.66,-22.77,42.65,-35.29
4780,0,-46.88,13.31,974.24,40.28,32.35,3.05,-21.97,43.42,-36.95
4831,1,-47.24,14.53,974.49,40.28,32.35,4.88,-22.13,42.47,-35.75
4882,2,-43.95,17.46,972.29,40.89,31.74,4.27,-22.18,42.36,-36.05
4932,0,-45.65,17.58,973.39,38.45,30.52,4.88,-22.24,42.47,-35.73
4983,1,-46.39,14.04,974.00,38.45,30.52,3.66,-22.66,42.10,-35.94
5035,2,-46.63,13.67,974.00,38.45,30.52,4.27,-22.23,42.48,-35.00
5086,0,-45.29,14.89,973.14,40.28,30.52,4.27,-21.97,42.31,-35.55
5136,1,-44.68,15.14,973.75,39.67,31.13,3.66,-21.51,42.60,-35.61
5187,2,-46.02,15.63,973.27,38.45,31.74,3.05,-22.46,42.63,-36.45
5238,0,-45.65,15.38,973.39,39.67,31.13,5.49,-22.31,42.65,-35.89
5288,1,-47.12,15.38,973.14,39.67,31.13,4.27,-21.72,42.83,-36.23
5340,2,-46.26,17.33,972.53,38.45,31.74,4.27,-22.17,42.63,-35.95
5391,0,-45.29,16.60,973.75,40.28,29.91,3.05,-22.38,42.58,-36.15
5442,1,-47.00,12.82,973.75,40.89,29.91,4.88,-22.02,42.37,-36.13
5492,2,-47.36,13.55,971.92,40.89,31.13,5.49,-22.05,43.20,-36.73
5543,0,-47.24,16.24,971.44,39.06,29.30,3.05,-22.47,42.30,-36.12
5595,1,-45.90,16.48,973.75,39.06,31.74,3.66,-22.06,42.35,-36.17
5646,2,-45.90,14.89,970.70,38.45,31.13,4.88,-22.28,42.16,-37.66
5696,0,-47.61,14.04,973.27,37.84,32.35,4.88,-21.73,42.33,-37.28
5747,1,-44.68,15.14,974.00,39.06,32.35,4.88,-21.95,42.82,-36.11
5798,2,-46.39,15.99,972.90,40.28,31.13,4.27,-21.55,42.38,-36.18
5850,0,-46.63,15.87,973.63,39.67,31.13,3.66,-22.29,42.64,-36.56
5901,1,-46.26,14.77,973.51,39.06,30.52,4.27,-21.58,42.03,-35.08
5951,2,-46.02,15.14,971.92,38.45,31.74,4.88,-22.24,42.29,-36.08
6002,0,-44.80,17.33,974.85,39.06,31.74,4.88,-22.31,42.97,-36.52
6053,1,-45.90,16.48,973.88,40.28,32.35,4.88,-22.17,42.25,-36.02
6105,2,-45.78,15.14,973.51,39.67,31.13,4.27,-21.58,42.42,-36.21
6155,0,-46.26,14.89,973.63,39.67,31.13,4.27,-21.70,42.66,-35.60
6206,1,-46.51,14.89,972.17,40.28,30.52,4.88,-21.98,42.18,-34.89
6257,2,-45.41,15.87,972.05,40.28,29.91,3.66,-21.97,42.38,-35.33
6308,0,-46.26,15.14,972.90,39.67,31.74,2.44,-22.16,42.00,-36.57
