1,-25.63,23.56,969.73,40.28,29.30,7.93,-9.27,34.09,-39.76
2,-25.51,22.58,967.65,41.50,29.91,7.93,-8.94,33.90,-39.60
0,-28.20,22.34,976.07,37.84,29.30,7.93,-9.08,34.35,-38.02
1,-28.20,21.97,977.66,38.45,29.30,9.16,-8.90,34.12,-40.20
2,-26.86,22.09,971.92,40.89,29.30,9.16,-9.27,33.94,-38.48
0,-25.27,22.83,966.43,39.67,30.52,7.93,-8.78,33.44,-39.55
1,-26.98,23.32,972.17,39.06,29.30,6.71,-9.16,33.40,-38.81
2,-27.95,22.83,977.66,38.45,29.30,6.71,-8.84,34.06,-39.38
0,-27.22,21.85,975.10,39.67,29.91,7.93,-8.91,33.52,-39.01
1,-26.73,23.07,968.02,40.89,28.69,7.93,-9.29,34.30,-39.34
2,-25.39,22.09,967.53,39.67,31.13,6.71,-8.76,34.61,-39.03
0,-26.98,22.58,975.46,40.28,30.52,7.93,-8.95,34.35,-39.49
1,-27.71,21.48,978.76,40.89,29.91,8.54,-8.75,34.45,-38.83
2,-27.22,21.24,970.70,39.67,28.08,6.10,-9.03,34.08,-38.85
0,-24.54,22.46,966.43,39.67,30.52,6.10,-9.13,34.05,-38.75
1,-27.34,22.34,972.53,39.06,30.52,7.32,-9.01,33.87,-39.18
2,-27.22,21.48,978.27,37.84,29.91,7.32,-9.45,34.17,-38.78
0,-26.73,21.85,974.98,39.06,30.52,7.32,-8.89,34.23,-39.07
1,-26.98,22.22,969.36,37.84,30.52,6.71,-9.09,34.33,-38.95
2,-27.34,21.24,967.53,39.67,30.52,7.93,-9.19,34.30,-40.12
0,-27.83,21.00,974.12,40.28,31.74,6.10,-8.56,34.20,-40.31
1,-27.71,21.24,976.68,40.28,28.08,8.54,-9.08,33.85,-40.10
2,-26.86,22.95,973.63,38.45,29.91,6.71,-9.19,33.85,-39.45
0,-25.39,23.19,966.19,39.06,29.91,9.16,-9.23,34.23,-39.90
1,-26.86,22.22,969.85,39.06,31.74,6.10,-9.55,34.02,-39.29
2,-27.95,22.09,976.44,39.67,31.13,7.32,-8.78,34.55,-38.79
0,-27.71,22.09,975.22,37.84,29.30,6.10,-9.33,34.01,-38.65
1,-26.25,22.34,968.87,37.84,29.91,7.93,-8.22,34.25,-39.27
2,-25.51,23.19,967.90,38.45,29.91,7.93,-8.64,34.02,-38.54
0,-26.86,22.46,973.63,38.45,29.91,6.71,-9.06,33.76,-39.47
1,-27.59,22.22,976.32,38.45,29.30,8.54,-8.44,34.07,-39.56
2,-26.61,21.61,970.83,40.89,29.30,7.93,-8.87,34.29,-38.70
0,-32.96,12.57,1000.49,37.23,29.91,9.77,-9.64,34.38,-38.90
1,-24.29,6.35,965.94,39.06,29.30,7.32,-9.17,34.03,-39.23
2,-31.37,18.92,978.03,39.67,28.69,6.10,-9.06,34.07,-39.25
0,-28.69,22.95,981.32,39.67,31.74,7.32,-9.42,33.83,-39.53
1,-26.25,15.50,965.09,40.28,29.30,6.71,-9.48,33.94,-39.44
2,-27.34,21.61,968.38,39.06,29.91,8.54,-8.94,34.29,-39.11
0,-42.36,24.54,971.56,37.84,30.52,9.77,-8.79,34.81,-39.36
1,-20.75,13.43,976.56,39.06,29.91,7.32,-9.11,33.96,-40.32
2,-11.47,20.87,972.66,40.28,29.30,8.54,-9.00,34.41,-39.40
0,-30.76,19.04,966.92,39.06,31.13,7.32,-8.75,34.19,-39.15
1,-33.69,27.34,970.09,39.06,31.13,6.71,-8.85,33.90,-39.15
2,-26.73,25.63,976.81,39.67,29.91,7.32,-8.84,34.28,-39.81
0,-22.58,22.71,976.20,39.67,29.91,7.93,-9.25,34.41,-38.93
1,-29.17,25.39,969.85,39.67,28.69,8.54,-9.05,34.23,-39.04
2,-26.61,23.93,968.14,39.06,31.13,7.32,-9.38,34.22,-38.75
0,-20.87,23.19,974.49,39.06,28.69,8.54,-9.08,34.14,-38.11
1,-25.39,21.36,977.91,39.06,31.13,7.93,-9.20,34.35,-38.81
2,-33.45,23.44,973.88,39.06,29.91,7.93,-9.34,34.06,-38.35
0,-30.76,25.51,967.77,39.06,30.52,7.93,-9.00,33.94,-38.81
1,-20.02,24.90,969.24,37.84,29.91,7.32,-9.25,34.58,-39.23
2,-21.24,22.34,976.07,37.84,30.52,7.93,-8.79,34.57,-38.87
0,-30.27,23.44,977.17,38.45,29.91,7.32,-9.35,34.47,-39.11
1,-31.13,21.36,968.51,37.84,29.91,8.54,-8.95,34.01,-38.73
2,-24.78,19.78,966.19,36.62,30.52,7.93,-9.20,33.73,-39.32
0,-24.54,19.78,970.83,40.89,30.52,7.32,-8.75,34.02,-39.45
1,-31.01,21.12,977.05,38.45,27.47,7.32,-8.64,34.47,-39.37
2,-30.52,23.07,972.66,39.06,29.91,7.93,-9.52,34.09,-39.27
0,-23.68,20.51,966.80,38.45,29.91,6.71,-9.09,33.80,-38.85
1,-22.46,20.51,967.53,40.89,30.52,7.32,-8.52,33.92,-38.53
2,-29.66,21.48,975.34,39.06,30.52,7.32,-9.20,33.94,-39.07
0,-31.37,21.73,976.32,39.06,31.13,6.71,-9.14,34.13,-39.58
1,-26.25,20.63,969.12,37.84,30.52,7.32,-9.75,33.62,-39.53
2,-24.29,21.36,966.80,37.23,29.91,6.71,-8.53,33.73,-38.18
0,-27.22,21.73,972.90,39.67,29.30,6.71,-8.98,34.28,-38.67
1,-29.05,21.97,976.81,38.45,29.30,7.93,-9.33,33.87,-39.29
2,-22.34,20.63,971.92,40.28,30.52,8.54,-8.70,34.42,-39.18
0,-27.83,20.63,969.73,39.67,28.69,7.93,-9.17,34.12,-39.50
1,-36.13,27.34,970.34,39.06,31.13,7.93,-8.92,33.79,-38.45
2,-24.41,19.90,974.49,37.23,30.52,8.54,-8.64,33.67,-39.10
0,-21.00,18.43,975.22,38.45,31.13,9.16,-8.57,33.80,-39.32
1,-28.93,20.14,971.80,39.06,31.74,7.32,-8.84,34.09,-39.36
2,-29.42,23.32,967.90,39.67,30.52,8.54,-8.75,33.76,-39.38
0,-25.63,22.34,972.05,39.06,31.13,7.32,-8.90,33.68,-39.06
1,-25.51,20.39,976.44,39.06,29.91,7.32,-8.86,33.72,-38.39
2,-29.66,23.19,973.39,38.45,31.13,6.71,-9.18,34.11,-39.38
0,-28.93,22.95,968.14,39.67,28.08,6.71,-8.67,34.75,-39.14
1,-23.80,19.65,967.16,38.45,29.30,7.93,-8.59,34.22,-38.56
2,-22.83,21.00,973.88,40.28,29.91,6.71,-9.16,33.87,-39.15
0,-31.49,20.87,975.59,39.06,30.52,6.71,-9.34,33.48,-38.88
1,-31.25,22.09,969.85,40.89,29.30,8.54,-8.78,33.53,-39.43
2,-24.54,20.51,966.31,37.84,29.30,5.49,-8.83,33.78,-39.38
0,-23.07,21.85,969.60,39.67,29.30,6.10,-8.96,34.03,-39.39
1,-28.81,22.71,976.93,37.84,30.52,7.32,-9.28,34.14,-39.56
2,-28.93,22.22,974.24,37.84,29.30,7.32,-8.34,33.87,-39.90
0,-25.63,22.09,968.51,39.06,29.30,7.93,-8.84,34.03,-39.79
1,-24.05,21.73,967.04,39.06,29.91,7.32,-8.65,34.36,-39.00
2,-29.30,21.97,975.34,39.67,29.30,8.54,-9.24,33.94,-39.00
0,-31.25,21.12,974.73,39.06,30.52,7.93,-8.61,34.16,-39.45
1,-25.39,21.48,970.21,38.45,29.30,7.93,-8.94,34.18,-38.85
2,-21.12,21.73,967.77,38.45,31.13,9.16,-8.95,33.98,-39.22
0,-26.12,21.48,970.09,39.67,29.91,7.93,-8.73,33.68,-38.64
1,-31.37,21.36,975.71,37.23,30.52,7.93,-8.46,34.20,-39.84
2,-27.95,19.90,974.49,37.84,29.30,7.93,-8.40,33.59,-39.48
0,-24.05,21.73,968.51,37.84,30.52,7.32,-8.70,34.00,-39.36
1,-25.51,23.32,967.90,40.28,30.52,7.93,-8.75,33.85,-38.62
2,-27.59,22.22,974.00,38.45,31.74,8.54,-8.47,33.78,-38.84
0,-25.88,22.95,976.93,39.67,29.30,8.54,-8.33,34.03,-38.84
1,-26.61,22.09,972.66,39.06,31.74,7.32,-8.85,33.62,-38.64
2,-29.54,20.63,968.99,39.06,29.30,8.54,-8.62,34.20,-39.75
0,-28.20,22.22,970.70,39.67,29.91,7.32,-8.79,34.27,-39.48
1,-25.51,21.48,976.32,39.06,30.52,8.54,-9.07,34.13,-38.06
2,-25.63,21.12,976.56,39.06,30.52,7.93,-8.90,33.57,-38.42
0,-26.98,21.00,966.67,38.45,29.30,7.93,-8.92,34.05,-39.06
1,-27.34,23.07,967.16,40.89,32.35,9.16,-8.83,34.58,-38.34
2,-25.76,23.19,974.37,39.06,29.30,8.54,-9.08,33.78,-38.65
0,-27.34,22.83,977.66,39.06,30.52,9.16,-8.76,33.97,-39.03
1,-28.08,21.24,970.58,40.28,30.52,6.71,-9.09,33.40,-39.25
2,-26.49,21.24,967.77,39.06,30.52,6.71,-8.65,34.14,-38.93
0,-25.39,21.48,970.58,39.06,30.52,6.10,-8.45,33.76,-38.81
1,-26.00,21.48,976.44,38.45,30.52,7.93,-8.56,33.70,-39.07
2,-28.93,21.24,974.85,37.23,30.52,8.54,-8.29,34.20,-38.43
0,-27.47,23.07,968.02,40.28,31.13,7.32,-8.51,34.45,-38.79
1,-25.63,22.58,969.48,38.45,30.52,7.32,-8.65,34.17,-40.11
2,-26.61,22.58,974.37,37.84,28.08,7.32,-8.52,34.16,-38.83
0,-27.47,21.00,977.29,40.28,30.52,6.10,-8.75,34.23,-39.47
1,-27.34,21.24,971.92,39.67,28.69,7.32,-9.05,33.89,-38.89
2,-25.88,22.95,968.38,38.45,31.13,8.54,-8.57,33.94,-39.26
0,-27.22,23.44,969.36,38.45,28.69,8.54,-8.56,33.78,-38.73
1,-27.95,21.85,976.32,37.84,30.52,7.32,-8.75,34.24,-40.41
2,-26.25,23.68,976.20,41.50,31.74,6.71,-8.81,33.95,-39.39
0,-25.02,22.95,968.14,37.23,29.91,7.32,-9.09,34.05,-39.39
1,-24.90,23.19,968.38,39.67,29.30,7.32,-8.39,33.76,-38.95
2,-28.81,20.02,973.14,41.50,29.91,9.16,-9.05,34.29,-39.36
0,-29.66,21.61,977.17,39.06,29.91,7.32,-8.68,34.14,-40.14
1,-26.61,22.46,973.39,40.89,29.30,6.71,-8.96,34.07,-39.45
2,-24.54,21.12,967.16,37.84,31.13,6.10,-8.91,33.87,-39.98
0,-24.29,21.61,970.70,40.89,29.30,8.54,-9.00,33.57,-39.70
1,-27.95,23.32,976.68,39.06,29.91,7.93,-8.81,34.07,-40.65
2,-26.98,22.83,976.56,39.67,29.91,7.32,-8.83,33.30,-39.84
0,-26.37,21.00,969.60,38.45,31.13,9.16,-8.81,34.19,-39.75
1,-27.59,22.58,969.60,40.28,30.52,6.71,-9.33,33.67,-40.01
2,-25.76,22.71,973.51,39.06,30.52,7.32,-9.20,34.07,-39.17
0,-26.25,22.46,977.05,40.28,29.30,7.32,-8.52,34.89,-38.92
1,-26.73,21.36,972.41,38.45,28.69,6.71,-9.07,34.12,-39.36
2,-27.71,22.83,967.90,38.45,30.52,6.10,-9.00,33.78,-39.60
0,-26.25,23.32,971.68,39.06,29.30,6.71,-8.64,33.64,-39.60
1,-27.22,22.09,976.32,40.28,28.69,7.32,-8.65,34.18,-39.20
2,-26.98,21.12,974.73,40.28,28.69,7.32,-8.98,34.13,-40.58
0,-26.37,22.22,968.87,38.45,29.30,6.71,-8.91,34.24,-39.18
1,-26.00,22.46,968.63,40.28,30.52,7.32,-9.13,34.58,-39.76
2,-26.86,22.22,973.27,40.89,31.13,5.49,-8.42,34.66,-38.99
0,-28.20,21.00,976.81,40.28,31.13,8.54,-9.08,34.53,-39.50
1,-27.10,22.46,973.63,39.67,30.52,7.32,-8.87,34.11,-39.15
2,-25.76,21.85,967.77,39.06,32.35,7.32,-8.91,33.67,-39.75
0,-25.51,21.00,969.73,41.50,30.52,7.32,-9.09,33.90,-39.16
1,-26.73,23.44,975.59,38.45,29.30,6.10,-9.16,34.20,-40.10
2,-28.20,22.58,975.59,39.67,29.30,7.32,-9.16,34.46,-39.40
0,-26.86,22.34,971.31,38.45,29.30,7.32,-8.69,34.80,-39.70
1,-25.63,21.73,968.99,38.45,29.30,6.71,-9.00,34.40,-40.25
2,-27.22,22.34,973.51,39.67,31.13,9.16,-9.27,34.40,-39.73
0,-27.95,21.24,977.66,37.84,29.30,6.71,-8.51,34.53,-39.32
1,-26.73,22.58,974.24,39.06,29.30,7.32,-8.69,35.01,-39.94
2,-25.51,24.29,968.38,37.84,31.13,7.32,-8.31,34.19,-39.07
0,-25.76,21.85,969.12,38.45,28.69,7.93,-8.64,34.51,-39.92
1,-28.20,22.22,975.34,38.45,30.52,7.93,-9.27,34.18,-39.11
2,-28.20,22.83,976.32,39.06,29.91,7.32,-8.85,34.05,-38.71
0,-25.02,22.34,970.09,37.84,29.30,8.54,-8.48,34.20,-39.48
1,-25.15,22.34,967.04,40.28,31.13,7.32,-9.19,33.95,-39.40
2,-27.71,22.58,976.68,38.45,28.69,6.71,-8.37,34.12,-38.99
0,-27.59,22.83,975.59,39.06,30.52,6.71,-8.56,33.96,-39.21
1,-27.22,23.07,974.24,37.23,31.74,8.54,-8.68,34.05,-38.55
2,-25.76,22.83,969.48,37.84,29.30,7.93,-9.12,33.70,-39.56
0,-27.10,21.24,968.75,39.67,28.69,7.32,-8.70,34.11,-39.69
1,-25.88,21.85,977.29,37.23,29.91,7.32,-9.19,33.36,-39.01
2,-27.59,19.53,976.44,39.06,29.91,7.93,-8.44,33.70,-39.59
0,-26.98,22.58,970.95,39.67,29.91,7.32,-9.39,33.56,-39.09
1,-25.27,22.95,968.63,39.67,29.91,6.71,-9.47,33.28,-39.18
2,-26.86,22.09,973.27,39.67,29.91,7.32,-9.28,33.42,-38.93
0,-27.34,20.63,976.68,38.45,28.69,7.93,-8.69,33.63,-39.33
1,-27.10,22.22,974.12,39.06,29.30,6.71,-8.80,34.16,-38.75
2,-25.88,21.61,968.75,37.84,29.91,7.32,-9.09,33.69,-39.42
0,-26.00,20.63,970.09,36.62,29.30,6.71,-8.62,33.73,-38.88
