id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,13:48:43,04 21 2021
0,214310,5,62.26,-519.17,846.56,42.72,14.65,-0.61,28.8,45.96,-28.69
1,214322,5,-131.84,95.46,1031.62,6.71,-1.22,16.48,0.51,34.17,-30.94
2,214334,5,82.28,-157.47,979.49,-3.66,-17.09,-17.7,-8.41,68.40,-30.55
3,214346,0,1.386138,,,,,,,,
4,214348,0,0.0,,,,,,,,
5,214349,0,10.942579,,,,,,,,
6,214351,0,4.918033,,,,,,,,
0,214355,5,60.18,-518.92,845.95,38.45,12.82,0.0,28.63,46.34,-29.33
1,214367,5,-132.69,93.02,1032.71,8.54,1.22,17.7,-0.48,34.02,-30.65
2,214384,4,85.21,-184.08,978.39,-7.32,-29.91,-15.26,-8.33,67.42,-31.18
3,214395,1,1.386138,,,,,,,,
4,214397,0,0.0,,,,,,,,
5,214400,0,10.942579,,,,,,,,
6,214402,0,4.918033,,,,,,,,
0,214405,5,55.18,-510.86,852.17,36.62,11.6,-2.44,28.91,46.00,-28.61
1,214417,4,-134.77,93.99,1023.07,9.16,0.0,19.53,-0.42,34.20,-30.80
2,214429,4,71.41,-138.31,961.55,-20.14,-49.44,-70.19,-9.07,67.98,-31.05
3,214440,1,1.386138,,,,,,,,
4,214443,0,0.0,,,,,,,,
5,214445,0,10.942579,,,,,,,,
6,214447,0,4.918033,,,,,,,,
0,214450,5,45.78,-527.71,851.32,52.49,122.68,-24.41,29.3,45.80,-29.74
1,214467,4,-136.84,97.78,1028.08,39.06,12.82,31.74,-0.79,34.16,-30.55
2,214479,4,75.56,-204.35,990.48,-12.21,-78.74,-18.31,-9.38,67.81,-31.03
3,214491,0,1.48662,,,,,,,,
4,214493,0,0.0,,,,,,,,
5,214495,0,10.942579,,,,,,,,
6,214497,0,4.810645,,,,,,,,
0,214500,5,76.17,-524.66,842.41,61.04,150.15,-27.47,30.08,44.74,-29.54
1,214512,4,-133.67,93.87,1031.01,31.74,18.92,34.18,-0.1,33.58,-30.48
2,214524,4,80.32,-99.61,1043.82,-59.81,-158.69,-86.67,-9.38,67.81,-31.03
3,214540,0,1.48662,,,,,,,,
4,214542,0,0.0,,,,,,,,
5,214543,1,10.942579,,,,,,,,
6,214545,1,4.703476,,,,,,,,
0,214549,4,80.57,-518.07,824.95,42.72,149.54,-20.14,30.44,44.68,-27.99
1,214561,4,-130.86,90.45,1047.61,53.1,18.92,32.96,-0.84,34.40,-29.49
2,214574,4,143.19,-309.33,1055.42,-84.84,-267.94,-86.67,-10.35,66.91,-31.84
3,214585,0,1.48662,,,,,,,,
4,214587,0,0.0,,,,,,,,
5,214589,0,10.942579,,,,,,,,
6,214591,0,4.596527,,,,,,,,
0,214594,5,105.83,-505.49,833.37,61.04,84.23,-7.32,31.15,44.85,-28.60
1,214611,5,-113.65,90.45,1075.32,21.36,-13.43,23.8,0.04,34.11,-30.40
2,214624,4,255.98,-182.86,1058.47,-187.99,-598.75,-231.32,-11.17,67.35,-31.87
3,214635,0,1.386138,,,,,,,,
4,214637,0,0.0,,,,,,,,
5,214639,0,10.942579,,,,,,,,
6,214641,0,4.703476,,,,,,,,
0,214644,5,97.41,-483.64,861.08,109.25,-21.97,-48.83,31.27,45.72,-28.32
1,214657,5,-117.31,24.29,1148.8,-22.58,-63.48,10.38,-0.62,34.35,-30.93
2,214669,4,107.91,-140.14,1171.26,-166.63,-964.97,-275.88,-14.75,66.89,-34.16
3,214685,1,1.285856,,,,,,,,
4,214687,0,0.0,,,,,,,,
5,214689,0,11.183497,,,,,,,,
6,214691,0,5.025641,,,,,,,,
0,214694,6,-50.05,-307.5,1125.49,333.86,28.08,-106.2,30.16,46.20,-27.76
1,214707,5,66.04,320.68,1998.05,132.45,-722.05,28.08,-1.5,33.73,-29.93
2,214719,5,73.36,130.37,1538.45,-124.51,-989.99,-535.89,-19.45,65.41,-35.11
3,214731,0,1.185771,,,,,,,,
4,214733,0,0.0,,,,,,,,
5,214735,0,11.062907,,,,,,,,
6,214736,1,5.13347,,,,,,,,
0,214740,5,337.77,-308.11,1143.92,1500.85,-65.31,-166.02,29.59,49.44,-25.98
1,214758,4,-44.68,-138.55,1755.0,-136.72,-1660.16,73.85,-4.99,34.25,-29.02
2,214770,4,-1.34,-237.92,1241.46,-74.46,-1011.35,-71.41,-25.02,65.66,-35.21
3,214781,1,1.185771,,,,,,,,
4,214784,0,0.0,,,,,,,,
5,214786,0,10.344828,,,,,,,,
6,214788,0,4.918033,,,,,,,,
0,214791,5,225.1,-1115.84,961.06,1802.37,197.75,-505.37,29.03,54.39,-22.77
1,214803,5,314.33,-238.65,395.26,-92.77,-1707.76,-149.54,-12.45,33.67,-28.83
2,214816,4,221.07,-107.18,274.29,-10.99,-554.2,-95.21,-29.13,64.75,-34.84
3,214833,0,1.285856,,,,,,,,
4,214835,0,0.0,,,,,,,,
5,214836,1,9.518717,,,,,,,,
6,214838,0,4.276986,,,,,,,,
0,214842,4,579.83,126.46,1085.08,522.46,-5.49,-6.1,28.43,59.51,-18.46
1,214854,4,794.31,-290.16,336.06,-21.97,-67.14,94.6,-17.72,32.96,-25.90
2,214866,5,382.57,-30.03,327.03,204.47,505.37,144.04,-30.57,64.64,-33.84
3,214878,0,1.285856,,,,,,,,
4,214880,0,0.0,,,,,,,,
5,214882,0,9.401709,,,,,,,,
6,214884,0,3.853955,,,,,,,,
0,214887,4,77.76,144.53,888.92,-252.08,183.72,156.25,28.32,59.74,-17.71
1,214904,4,314.21,101.68,727.17,315.55,374.76,-40.28,-17.24,33.26,-25.85
2,214917,4,-1.22,-15.01,611.69,200.2,1225.59,72.63,-28.52,65.86,-32.89
3,214928,0,1.285856,,,,,,,,
4,214930,0,0.0,,,,,,,,
5,214932,0,9.168444,,,,,,,,
6,214934,0,3.748734,,,,,,,,
0,214937,4,101.81,-470.09,851.81,-1354.98,226.44,317.38,30.65,58.74,-19.41
1,214949,6,45.53,207.03,963.01,195.31,1486.82,-14.04,-14.94,34.13,-26.71
2,214962,4,0.49,57.62,927.12,22.58,1514.89,31.74,-23.46,66.69,-33.14
3,214978,0,1.285856,,,,,,,,
4,214980,0,0.0,,,,,,,,
5,214982,0,9.168444,,,,,,,,
6,214983,1,3.538928,,,,,,,,
0,214987,4,117.31,-699.58,872.8,-1422.12,149.54,397.34,32.7,54.52,-22.52
1,215000,4,-204.71,24.05,1372.92,282.59,1517.94,26.86,-10.01,35.69,-27.75
2,215012,4,45.53,-98.02,1174.19,73.24,1655.27,274.66,-16.37,67.37,-33.75
3,215024,0,1.285856,,,,,,,,
4,215025,1,0.0,,,,,,,,
5,215027,0,9.168444,,,,,,,,
6,215029,0,3.538928,,,,,,,,
0,215033,4,157.59,-839.36,951.29,-1197.51,274.05,463.87,33.87,49.72,-24.52
1,215050,5,-330.69,34.3,1481.57,402.22,1245.12,104.98,-4.44,37.10,-29.93
2,215062,5,81.91,-158.08,1278.93,40.89,1589.97,140.99,-10.5,67.64,-33.03
3,215074,0,1.285856,,,,,,,,
4,215076,0,0.0,,,,,,,,
5,215077,1,9.052183,,,,,,,,
6,215079,0,3.643725,,,,,,,,
0,215084,4,200.56,-963.75,972.29,-970.46,301.51,419.31,35.52,45.41,-25.38
1,215096,4,-357.42,86.43,1271.36,397.34,1102.91,67.75,0.55,39.61,-30.52
2,215108,4,27.59,-65.67,1214.48,43.33,1466.67,166.63,-4.33,68.41,-30.83
3,215124,0,1.185771,,,,,,,,
4,215127,0,0.0,,,,,,,,
5,215128,1,9.052183,,,,,,,,
6,215130,0,3.748734,,,,,,,,
0,215134,4,91.92,-1054.44,766.36,-1123.66,197.75,482.18,36.77,41.67,-25.57
1,215146,4,-593.87,-198.36,1280.76,381.47,1296.39,92.77,4.69,40.76,-28.71
2,215158,4,-14.77,-264.28,1273.93,192.26,1220.09,62.87,0.45,68.64,-28.48
3,215170,1,1.185771,,,,,,,,
4,215172,0,0.0,,,,,,,,
5,215174,0,9.052183,,,,,,,,
6,215176,0,3.853955,,,,,,,,
0,215179,5,-39.92,-1004.15,311.77,-817.87,456.54,191.04,37.49,37.93,-25.54
1,215196,4,-980.35,319.34,1047.85,429.08,645.75,-166.02,7.58,42.55,-27.39
2,215208,5,-245.36,-82.89,1148.8,142.82,366.82,-176.39,2.64,69.15,-26.04
3,215221,0,1.285856,,,,,,,,
4,215222,0,0.0,,,,,,,,
5,215224,0,9.052183,,,,,,,,
6,215226,0,3.643725,,,,,,,,
0,215229,5,129.88,-852.42,-236.82,139.16,-319.21,-47.0,37.54,36.89,-25.33
1,215241,5,-767.58,45.17,1093.75,-742.8,-744.63,31.13,6.49,42.41,-28.04
2,215254,5,494.38,0.98,895.87,224.61,-634.16,389.4,1.53,69.76,-26.64
3,215271,0,1.992032,,,,,,,,
4,215272,0,0.0,,,,,,,,
5,215274,0,8.016878,,,,,,,,
6,215276,0,2.093719,,,,,,,,
0,215279,5,51.27,-191.53,801.88,953.37,-757.45,-108.64,34.61,41.21,-26.50
1,215291,6,81.54,195.8,1005.74,-759.89,-1375.12,212.4,2.26,39.23,-30.96
2,215304,5,494.75,-31.01,1098.02,200.81,-507.2,518.8,1.93,69.38,-27.20
3,215316,0,1.890547,,,,,,,,
4,215318,0,0.0,,,,,,,,
5,215319,1,6.334372,,,,,,,,
6,215321,1,1.890547,,,,,,,,
0,215325,4,-101.2,-620.0,1126.71,1083.37,-392.46,-288.09,32.14,45.40,-27.43
1,215343,4,-280.4,127.69,927.25,-241.09,-857.54,185.55,-3.0,37.43,-32.10
2,215355,4,230.83,-115.48,1161.38,351.56,-610.96,299.68,1.44,69.19,-27.51
3,215366,0,1.992032,,,,,,,,
4,215368,0,0.0,,,,,,,,
5,215370,0,7.450158,,,,,,,,
6,215372,0,1.789265,,,,,,,,
0,215375,5,69.09,-546.51,927.0,724.49,58.59,-48.22,31.86,49.12,-26.32
1,215388,4,-291.63,-52.86,905.03,42.11,-328.37,43.33,-4.71,37.16,-31.82
