id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,13:24:55,04 16 2021
0,34711,4,92.41,-553.22,828.61,35.4,12.21,22.58,-4.35,33.56,-34.57
1,34722,5,75.2,-987.55,261.84,8.54,2.44,5.49,4.13,44.76,16.08
2,34735,4,-109.86,-1001.95,-64.33,57.37,136.11,-9.77,-21.39,71.03,18.05
3,34746,1,0.392157,,,,,,,,
4,34748,0,0.0,,,,,,,,
5,34750,0,1.992032,,,,,,,,
6,34752,0,0.0,,,,,,,,
0,34755,5,103.76,-552.73,824.46,34.18,18.92,21.97,-4.14,33.75,-34.48
1,34767,4,72.14,-992.07,262.82,10.99,0.0,3.66,4.09,44.79,17.02
2,34784,4,-140.14,-1012.7,-67.26,71.41,29.3,-22.58,-21.39,70.95,18.70
3,34796,0,0.392157,,,,,,,,
4,34797,0,0.0,,,,,,,,
5,34799,0,2.093719,,,,,,,,
6,34801,0,0.0,,,,,,,,
0,34804,5,100.22,-546.39,824.1,12.82,-21.36,17.09,-3.88,34.19,-35.05
1,34817,4,75.93,-972.9,266.48,7.93,6.1,21.97,3.76,44.54,16.56
2,34829,3,-145.02,-989.62,-30.03,88.5,15.26,-9.16,-21.39,70.95,18.70
3,34839,0,0.29383,,,,,,,,
4,34841,0,0.0,,,,,,,,
5,34842,1,2.093719,,,,,,,,
6,34844,0,0.0,,,,,,,,
0,34848,4,95.58,-550.78,830.93,30.52,13.43,14.04,-3.76,34.19,-35.61
1,34865,4,74.71,-992.07,263.43,15.26,3.05,8.54,3.71,44.67,16.48
2,34877,4,-151.37,-1000.37,-64.21,183.72,-18.31,-14.65,-22.03,70.70,18.91
3,34888,0,0.29383,,,,,,,,
4,34890,0,0.0,,,,,,,,
5,34892,0,2.093719,,,,,,,,
6,34894,0,0.0,,,,,,,,
0,34897,5,99.98,-547.73,825.93,20.75,-1.22,21.36,-4.02,34.11,-35.11
1,34910,4,75.68,-996.09,261.6,20.14,5.49,19.53,4.14,44.92,16.65
2,34921,5,-110.35,-1013.67,-73.49,220.34,39.06,6.71,-21.08,69.93,18.84
3,34937,1,0.195695,,,,,,,,
4,34939,0,0.0,,,,,,,,
5,34941,0,2.093719,,,,,,,,
6,34944,0,0.0,,,,,,,,
0,34947,4,92.04,-543.46,829.83,7.93,-21.36,38.45,-4.26,33.56,-34.45
1,34959,4,66.41,-998.66,259.64,17.7,5.49,10.99,4.04,44.53,16.91
2,34970,5,-180.91,-1005.74,-181.15,157.47,23.19,-0.61,-21.22,69.74,19.90
3,34982,0,0.097752,,,,,,,,
4,34984,0,0.0,,,,,,,,
5,34985,2,2.093719,,,,,,,,
6,34988,0,0.0,,,,,,,,
0,34992,3,81.79,-539.79,835.82,26.86,-12.21,17.7,-4.26,33.56,-34.45
1,35007,4,82.76,-992.55,262.21,17.7,7.93,30.52,4.22,44.67,16.17
2,35019,4,-74.58,-1020.87,-153.69,90.94,182.5,14.65,-22.01,69.74,18.98
3,35031,0,0.097752,,,,,,,,
4,35033,0,0.0,,,,,,,,
5,35035,0,2.195609,,,,,,,,
6,35036,0,0.0,,,,,,,,
0,35040,4,104.74,-540.53,822.39,40.28,9.77,16.48,-4.6,33.44,-34.51
1,35051,5,73.0,-1000.61,257.69,14.04,7.32,23.19,3.85,44.82,15.78
2,35063,4,-155.64,-1021.85,-194.09,-4.27,112.92,34.18,-21.55,69.47,20.76
3,35076,0,0.0,,,,,,,,
4,35082,0,0.0,,,,,,,,
5,35084,0,2.195609,,,,,,,,
6,35085,0,0.0,,,,,,,,
0,35089,4,92.65,-540.53,833.13,57.98,-8.54,-12.21,-4.86,33.74,-35.50
1,35101,4,83.62,-991.46,263.55,-2.44,9.77,42.72,3.98,45.19,16.02
2,35112,6,-103.27,-1007.93,-118.41,-43.95,124.51,40.28,-21.92,69.48,20.50
3,35125,0,0.0,,,,,,,,
4,35126,1,0.0,,,,,,,,
5,35128,0,2.195609,,,,,,,,
6,35130,0,0.0,,,,,,,,
0,35133,5,81.91,-550.29,829.47,56.15,-1.22,-9.16,-5.16,33.47,-34.01
1,35145,4,90.45,-981.45,261.84,1.83,6.71,28.69,3.97,44.37,16.21
2,35162,5,-94.85,-996.83,-119.63,-26.86,14.04,10.38,-21.28,69.46,20.10
3,35174,0,0.0,,,,,,,,
4,35175,0,0.0,,,,,,,,
5,35177,0,2.195609,,,,,,,,
6,35179,0,0.0,,,,,,,,
0,35182,5,78.61,-550.9,830.08,42.11,6.71,-4.27,-5.02,33.70,-33.68
1,35194,4,88.26,-995.48,263.43,7.32,4.27,17.7,3.87,44.52,15.93
2,35207,4,-114.87,-1017.82,-100.83,-29.3,-50.66,-7.93,-21.09,69.34,21.14
3,35218,0,0.0,,,,,,,,
4,35220,0,0.0,,,,,,,,
5,35221,1,2.195609,,,,,,,,
6,35223,0,0.0,,,,,,,,
0,35231,5,87.04,-545.41,829.59,47.0,10.99,-1.83,-5.79,34.00,-34.52
1,35244,4,82.76,-991.21,265.14,3.66,3.05,14.04,4.19,44.75,15.81
2,35256,4,-141.24,-1014.4,-115.11,-33.57,-46.39,-0.61,-21.57,69.10,19.65
3,35267,0,0.0,,,,,,,,
4,35269,0,0.0,,,,,,,,
5,35270,1,2.195609,,,,,,,,
6,35272,0,0.0,,,,,,,,
0,35276,4,83.5,-550.29,830.93,58.59,3.05,-12.21,-5.99,34.23,-34.05
1,35288,5,86.67,-989.14,267.7,-4.88,7.93,35.4,4.43,44.80,16.52
2,35300,4,-117.43,-1007.69,-90.58,-45.78,7.93,10.99,-21.34,69.82,19.42
3,35316,0,0.0,,,,,,,,
4,35318,0,0.0,,,,,,,,
5,35319,1,2.195609,,,,,,,,
6,35321,0,0.0,,,,,,,,
0,35325,5,74.1,-552.49,828.37,53.1,6.71,-7.32,-5.79,34.06,-34.52
1,35337,5,90.21,-990.11,267.94,1.83,5.49,29.91,4.28,44.87,16.30
2,35349,4,-89.6,-1005.74,-78.61,-25.63,16.48,0.61,-20.84,69.97,19.17
3,35360,0,0.0,,,,,,,,
4,35362,0,0.0,,,,,,,,
5,35364,0,2.195609,,,,,,,,
6,35365,1,0.0,,,,,,,,
0,35369,5,79.96,-553.22,826.66,52.49,12.82,-3.05,-5.53,34.09,-34.36
1,35386,5,93.38,-981.32,268.8,6.1,3.66,21.97,4.52,44.41,16.85
2,35398,4,-97.9,-1001.1,-69.95,15.87,3.66,-10.99,-21.18,70.18,20.34
3,35409,0,0.0,,,,,,,,
4,35411,0,0.0,,,,,,,,
5,35414,0,2.195609,,,,,,,,
6,35415,0,0.0,,,,,,,,
0,35419,4,80.57,-552.37,825.2,41.5,18.31,1.83,-5.08,33.46,-34.77
1,35430,5,82.89,-1000.24,267.7,14.04,3.66,14.04,3.7,44.73,17.00
2,35442,4,-132.93,-1017.46,-79.71,21.97,4.88,-7.32,-21.4,70.35,19.70
3,35453,1,0.0,,,,,,,,
4,35461,0,0.0,,,,,,,,
5,35462,1,2.195609,,,,,,,,
6,35464,0,0.0,,,,,,,,
0,35468,4,78.61,-552.12,828.0,41.5,12.21,-1.22,-5.32,33.76,-34.91
1,35479,5,94.12,-984.62,269.17,12.21,4.88,20.75,4.53,44.98,15.23
2,35491,3,-103.76,-1011.84,-91.55,20.14,33.57,-3.05,-21.4,70.35,19.70
3,35502,1,0.0,,,,,,,,
4,35504,0,0.0,,,,,,,,
5,35506,0,2.195609,,,,,,,,
6,35507,1,0.0,,,,,,,,
0,35511,4,76.54,-552.98,827.64,37.84,16.48,3.66,-5.3,34.11,-34.47
1,35523,3,91.43,-986.94,269.41,12.82,1.22,14.65,4.53,44.98,15.23
2,35538,5,-107.06,-1010.38,-84.72,17.7,18.31,-6.1,-21.36,69.95,18.87
3,35550,0,0.0,,,,,,,,
4,35552,0,0.0,,,,,,,,
5,35554,0,2.195609,,,,,,,,
6,35555,1,0.0,,,,,,,,
0,35559,4,77.76,-552.12,827.64,36.01,17.09,4.88,-4.79,33.78,-33.92
1,35570,5,90.33,-991.58,270.02,14.65,2.44,12.21,4.28,45.01,15.47
2,35582,6,-98.75,-1006.96,-75.2,32.96,9.16,-12.82,-20.47,69.75,19.84
3,35595,0,0.0,,,,,,,,
4,35596,0,0.0,,,,,,,,
5,35598,0,2.195609,,,,,,,,
6,35600,0,0.0,,,,,,,,
0,35608,4,78.0,-552.73,825.32,31.74,22.58,7.32,-4.97,33.37,-34.81
1,35619,5,91.8,-984.74,267.94,18.31,1.83,6.71,4.19,44.81,15.38
2,35632,4,-113.4,-1010.01,-87.16,47.61,29.91,-11.6,-20.58,69.71,19.59
3,35643,1,0.0,,,,,,,,
4,35645,0,0.0,,,,,,,,
5,35647,0,2.195609,,,,,,,,
6,35649,0,0.0,,,,,,,,
0,35652,3,80.57,-547.12,829.1,31.13,23.19,9.16,-4.97,33.37,-34.81
1,35663,4,88.38,-990.84,269.04,19.53,0.61,6.1,4.04,44.14,15.09
2,35675,5,-113.65,-1014.65,-89.84,43.33,54.93,-2.44,-20.95,70.17,19.81
3,35691,0,0.0,,,,,,,,
4,35693,0,0.0,,,,,,,,
5,35695,0,2.195609,,,,,,,,
6,35696,1,0.0,,,,,,,,
0,35700,4,79.83,-547.61,827.64,34.79,18.31,3.66,-5.74,33.59,-33.35
