id,t,dt,ax,ay,az,gx,gy,gz,mx,my,mz
-1,119,119,119.0,119.0,119.0,119.0,20.0,20.0,20.0,14:02:58,04 07 2021
0,261990,4,-857.18,-1202.88,-327.03,46.39,-233.15,-562.13,54.7,23.77,-12.90
1,262002,4,378.66,-1257.08,496.83,-421.75,-25.63,239.26,-30.46,40.86,8.11
2,262014,5,32.84,-698.12,1396.85,-588.99,684.2,70.19,-12.15,50.16,-10.56
3,262026,1,1.789265,,,,,,,,
4,262028,1,0.0,,,,,,,,
5,262030,0,4.065041000000001,,,,,,,,
6,262032,0,1.2858559999999999,,,,,,,,
0,262036,4,355.71,-240.84,927.0,1220.09,-1026.61,-1046.14,52.86,26.90,-14.06
1,262048,4,-362.18,-969.73,-1015.26,-565.8,349.73,228.27,-29.63,42.47,4.99
2,262091,4,353.52,-769.78,336.67,-226.44,7.32,252.08,-8.89,51.34,-17.42
3,262104,0,2.5025020000000002,,,,,,,,
4,262105,1,0.0,,,,,,,,
5,262107,0,5.56701,,,,,,,,
6,262109,0,1.587301,,,,,,,,
0,262113,4,-386.35,-587.77,972.9,178.83,37.84,27.47,46.52,36.46,-12.55
1,262125,4,268.55,-944.82,-270.02,-957.64,565.8,148.32,-28.63,43.93,3.61
2,262137,4,120.61,-961.3,240.23,77.51,-68.97,-264.89,-9.09,51.09,-18.59
3,262149,0,2.605211,,,,,,,,
4,262151,0,0.0,,,,,,,,
5,262163,1,6.444907,,,,,,,,
6,262165,0,1.6881830000000002,,,,,,,,
0,262169,4,236.94,-542.24,790.16,137.94,158.08,97.05,48.28,35.78,-11.56
1,262181,4,-510.99,-905.03,-19.17,-653.08,158.08,97.05,-28.74,44.97,-1.79
2,262194,4,63.84,-979.13,246.34,48.83,14.65,19.53,-10.28,50.40,-18.58
3,262205,0,3.018109,,,,,,,,
4,262207,0,0.0,,,,,,,,
5,262209,0,6.889353,,,,,,,,
6,262211,0,1.6881830000000002,,,,,,,,
0,262214,5,40.53,-522.09,848.39,72.02,10.38,-29.91,49.04,36.17,-10.97
1,262226,5,180.66,-984.38,-84.23,-437.62,557.25,156.25,-27.15,45.87,-5.47
2,262244,4,102.78,-977.05,247.31,66.53,21.36,24.41,-10.07,51.07,-20.06
3,262255,0,3.1218529999999998,,,,,,,,
4,262257,0,0.09775199999999999,,,,,,,,
5,262259,0,7.3375259999999995,,,,,,,,
6,262261,0,1.789265,,,,,,,,
0,262264,5,96.07,-535.89,824.46,76.29,15.26,-10.38,48.38,36.47,-10.84
1,262277,4,-295.53,-982.67,-8.06,-285.03,-143.43,38.45,-27.49,45.87,-7.89
2,262289,4,96.44,-974.37,242.92,67.14,36.01,63.48,-10.13,50.56,-18.85
3,262301,0,2.811245,,,,,,,,
4,262302,1,0.0,,,,,,,,
5,262309,0,7.450158,,,,,,,,
6,262310,1,1.789265,,,,,,,,
0,262315,4,117.55,-508.06,780.27,48.83,-98.27,-81.18,48.66,36.55,-10.97
1,262327,4,-88.99,-989.14,-172.12,-236.21,-178.83,78.12,-26.86,45.85,-8.61
2,262339,5,69.58,-981.32,239.87,1.83,69.58,156.25,-9.79,51.35,-20.41
3,262351,0,2.5025020000000002,,,,,,,,
4,262352,1,0.0,,,,,,,,
5,262354,0,7.450158,,,,,,,,
6,262356,0,1.8905470000000002,,,,,,,,
0,262361,4,65.19,-556.64,825.2,-25.02,-371.7,-238.04,47.58,37.84,-12.11
1,262373,4,-128.42,-1037.6,-115.48,-409.55,-567.02,137.94,-26.51,45.76,-9.58
2,262389,5,146.61,-970.21,257.81,-12.82,61.04,182.5,-8.15,51.28,-18.60
3,262402,0,2.4,,,,,,,,
4,262404,0,0.0,,,,,,,,
5,262405,0,7.450158,,,,,,,,
6,262407,0,2.297702,,,,,,,,
0,262411,4,-52.25,-559.81,847.78,24.41,-155.64,-122.07,45.5,37.89,-13.07
1,262423,4,-62.13,-1009.89,-63.6,-505.98,-208.13,219.12,-25.99,45.47,-10.60
2,262435,4,123.78,-976.44,269.53,-29.91,33.57,116.58,-7.82,51.66,-19.36
3,262447,1,2.297702,,,,,,,,
4,262449,0,0.0,,,,,,,,
5,262455,1,7.563025,,,,,,,,
6,262457,0,2.605211,,,,,,,,
0,262461,4,-29.79,-545.17,856.81,46.39,-184.33,-98.88,44.59,39.25,-13.23
